gbifID,locality,individualCount,decimalLatitude,decimalLongitude,eventDate,year,month
3538577516,Smithers--Riverfront Park,110.0,54.785133,-127.15145,2021-03-31,2021.0,3.0
2062585211,Wycliffe--Foster Rd North,52.0,49.626137,-115.85371,2017-06-14,2017.0,6.0
4323387938,Home Garden,3.0,49.11534,-122.74698,2022-09-24,2022.0,9.0
272038937,Haynes Point Provincial Park,4.0,49.01472,-119.45556,1990-03-16,1990.0,3.0
582793606,Grindrod - Riverside Road,52.0,50.673454,-119.08047,2011-12-18,2011.0,12.0
582811442,West Kelowna--Mouth of Powers Creek,88.0,49.815502,-119.62352,2011-03-13,2011.0,3.0
824010538,Blaeberry--Kettleson Pond & Road,16.0,51.431026,-117.02161,2012-05-14,2012.0,5.0
4231696424,Saanich--Panama Flats,20.0,48.476334,-123.4029,2022-06-03,2022.0,6.0
4393355416,Okanagan Falls- KVR trail North,12.0,49.354454,-119.580536,2022-06-25,2022.0,6.0
2718006880,Colony Farm,15.0,49.23429,-122.79964,2018-11-17,2018.0,11.0
2696815894,Reifel Bird Sanctuary,37.0,49.1,-123.185,2019-09-15,2019.0,9.0
3243130219,Seawall,1.0,49.175274,-123.94164,2020-04-16,2020.0,4.0
2126805724,French Creek mouth,12.0,49.3485,-124.360085,2018-02-13,2018.0,2.0
3249070187,Squamish River Estuary,40.0,49.70507,-123.17841,2020-08-04,2020.0,8.0
2146746153,North Vancouver--Maplewood Conservation Area,9.0,49.305843,-123.00034,2018-05-07,2018.0,5.0
2203167688,Puckle and Lamont Roads,350.0,48.577755,-123.389725,2018-09-20,2018.0,9.0
2127397004,Osooyos Lake,,49.057446,-119.48495,2018-01-07,2018.0,1.0
3630457554,Newlands,8.0,54.1106,-122.176575,2021-04-29,2021.0,4.0
2090316226,Burnaby Lake Regional Park (general),40.0,49.24299,-122.944046,2017-10-30,2017.0,10.0
1771233328,Salmon Arm Bay (General),500.0,50.709747,-119.28043,2016-11-05,2016.0,11.0
1726159613,"Latoria Road gravel pit, Colwood",20.0,48.4057,-123.49302,2016-04-08,2016.0,4.0
3542553525,Kelowna--Robert Lake,14.0,49.93562,-119.408905,2021-05-09,2021.0,5.0
2186459692,Delta—Westham Island,200.0,49.08834,-123.14819,1981-03-08,1981.0,3.0
4367452966,Blenkinsop--Lohbrunner Rd East,6.0,48.49181,-123.35887,2022-05-30,2022.0,5.0
2143610880,Vernon--Otter Lake Road,1100.0,50.39237,-119.2678,2018-03-28,2018.0,3.0
3539725763,Victoria--Blenkinsop Lake,5.0,48.483448,-123.3605,2021-05-15,2021.0,5.0
3651301509,Kitimat--Minette Bay,40.0,54.006916,-128.64056,2021-10-31,2021.0,10.0
1346275849,Central Saanich--ȾIKEL (Maber Flats),400.0,48.572468,-123.43052,2015-01-16,2015.0,1.0
2675064234,Cranbrook--Idlewild Park,2.0,49.4991,-115.729904,2019-03-25,2019.0,3.0
2670707120,"Courtenay--Comox Harbour, 31st St",25.0,49.670593,-124.9765,2019-05-05,2019.0,5.0
4330710503,Saanich--Panama Flats,10.0,48.476334,-123.4029,2022-08-05,2022.0,8.0
2063365702,Blaeberry--Goldenwood Lodge,1.0,51.445663,-116.99787,2017-05-07,2017.0,5.0
3134163211,"100 Esplanade Ave, Harrison Hot Springs CA-BC (49.3041,-121.7900)",90.0,49.304073,-121.79003,2020-01-05,2020.0,1.0
4278136523,Reifel Bird Sanctuary,50.0,49.1,-123.185,2005-10-23,2005.0,10.0
2217877376,Rocky Point Bird Observatory (restricted access),17.0,48.3198,-123.54715,2018-08-26,2018.0,8.0
3245338280,Squamish River Estuary -- East (of central channel),40.0,49.690567,-123.16406,2020-08-02,2020.0,8.0
3562482353,Lumby--Rawlings Lake,14.0,50.27456,-118.87657,2021-05-13,2021.0,5.0
226975160,V3H 4P9 Belcarra,,49.31411,-122.87624,2009-02-15,2009.0,2.0
167174500,Trinity Western University,20.0,49.140835,-122.59611,2005-02-14,2005.0,2.0
3280254300,Iona Island (General),20.0,49.22133,-123.2111,2020-12-18,2020.0,12.0
2225872209,Sandspit--airport,350.0,53.259003,-131.82152,2018-11-08,2018.0,11.0
3209475997,Central Saanich--ȾIKEL (Maber Flats),72.0,48.572468,-123.43052,2020-10-24,2020.0,10.0
823550620,Redwing Rd.,1.0,52.970673,-122.42436,2012-04-10,2012.0,4.0
1714301255,Vernon—Otter Lake,4.0,50.412464,-119.248764,2016-02-07,2016.0,2.0
581477065,North Vancouver--Maplewood Conservation Area,2.0,49.305843,-123.00034,2011-05-10,2011.0,5.0
2747013846,Nelson--waterfront,75.0,49.498905,-117.291245,2019-03-13,2019.0,3.0
1760454539,"Boundary Bay - 96th to 104th Sts., Delta",20.0,49.07305,-122.9485,2016-09-10,2016.0,9.0
3160611330,Iona Island (General),4.0,49.22133,-123.2111,2020-04-14,2020.0,4.0
2188136701,Cheam Lake Wetlands Regional Park,14.0,49.195557,-121.7525,2018-08-05,2018.0,8.0
4365329029,"700–778 Mariner Way, Nanaimo CA-BC 49.33105, -124.28900",51.0,49.33105,-124.289,2022-08-25,2022.0,8.0
